Id,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,BldgType,HouseStyle,OverallQual,Exterior1st,ExterQual,Foundation,BsmtQual,BsmtCond,BsmtExposure,TotalBsmtSF,HeatingQC,CentralAir,GrLivArea,KitchenQual,TotRmsAbvGrd,Functional,FireplaceQu,GarageType,GarageCars,PavedDrive,WoodDeckSF,OpenPorchSF,ScreenPorch,PoolQC,Fence,MiscVal,SaleCondition,Age,Re_Age,TotalFullBath,TotalHalfBath,SeasonSold,Artery,Feedr,PosA,PosN,RRAe,RRAn,RRNe,RRNn,LogSalePrice
16,RM,51.0,6120,Pave,Reg,Lvl,Corner,Gtl,BrkSide,1Fam,1.5Unf,7,Wd Sdng,TA,BrkTil,TA,TA,No,832,Ex,Y,854,TA,5,Typ,None,Detchd,2,Y,48,112,0,0,GdPrv,0,Normal,78,6,1,0,Summer,0,0,0,0,0,0,0,0,11.790557201568507
17,RL,83.73933599755526,11241,Pave,IR1,Lvl,CulDSac,Gtl,NAmes,1Fam,1Story,6,Wd Sdng,TA,CBlock,TA,TA,No,1004,Ex,Y,1004,TA,5,Typ,TA,Attchd,2,Y,0,0,0,0,None,700,Normal,40,40,2,0,Spring,0,0,0,0,0,0,0,0,11.911701584927597
18,RL,72.0,10791,Pave,Reg,Lvl,Inside,Gtl,Sawyer,Duplex,1Story,4,MetalSd,TA,Slab,None,None,None,0,TA,Y,1296,TA,6,Typ,None,CarPort,2,Y,0,0,0,0,None,500,Normal,39,39,2,0,Fall,0,0,0,0,0,0,0,0,11.407564949312402
19,RL,66.0,13695,Pave,Reg,Lvl,Inside,Gtl,SawyerW,1Fam,1Story,5,VinylSd,TA,PConc,TA,TA,No,1114,Ex,Y,1114,Gd,6,Typ,None,Detchd,2,Y,0,102,0,0,None,0,Normal,4,4,2,1,Summer,0,0,0,0,1,0,0,0,11.976659481202368
20,RL,70.0,7560,Pave,Reg,Lvl,Inside,Gtl,NAmes,1Fam,1Story,5,BrkFace,TA,CBlock,TA,TA,No,1029,TA,Y,1339,TA,6,NonTyp,None,Attchd,1,Y,0,0,0,0,MnPrv,0,Abnorml,51,44,1,0,Spring,0,0,0,0,0,0,0,0,11.842229212112828
21,RL,101.0,14215,Pave,IR1,Lvl,Corner,Gtl,NridgHt,1Fam,2Story,8,VinylSd,Gd,PConc,Ex,TA,Av,1158,Ex,Y,2376,Gd,9,Typ,Gd,BuiltIn,3,Y,240,154,0,0,None,0,Partial,1,0,3,1,Fall,0,0,0,0,0,0,0,0,12.692503112461443
22,RM,57.0,7449,Pave,Reg,Bnk,Inside,Gtl,IDOTRR,1Fam,1.5Unf,7,Wd Sdng,TA,PConc,TA,TA,No,637,Ex,Y,1108,Gd,6,Typ,Gd,Attchd,1,N,0,0,0,0,GdPrv,0,Normal,77,57,1,0,Summer,0,0,0,0,0,0,0,0,11.845102777308561
23,RL,75.0,9742,Pave,Reg,Lvl,Inside,Gtl,CollgCr,1Fam,1Story,8,VinylSd,Gd,PConc,Gd,TA,No,1777,Ex,Y,1795,Gd,7,Typ,Gd,Attchd,2,Y,171,159,0,0,None,0,Normal,6,6,2,0,Fall,0,0,0,0,0,0,0,0,12.345834587905333
24,RM,44.0,4224,Pave,Reg,Lvl,Inside,Gtl,MeadowV,TwnhsE,1Story,5,CemntBd,TA,PConc,Gd,TA,No,1040,TA,Y,1060,TA,6,Typ,TA,Attchd,2,Y,100,110,0,0,None,0,Normal,31,31,2,0,Summer,0,0,0,0,0,0,0,0,11.77452020265869
25,RL,8873.0,8246,Pave,IR1,Lvl,Inside,Gtl,Sawyer,1Fam,1Story,5,Plywood,TA,CBlock,TA,TA,Mn,1060,Ex,Y,1060,Gd,6,Typ,TA,Attchd,1,Y,406,90,0,0,MnPrv,0,Normal,42,9,2,0,Spring,0,0,0,0,0,0,0,0,11.944707881395766
26,RL,110.0,14230,Pave,Reg,Lvl,Corner,Gtl,NridgHt,1Fam,1Story,8,VinylSd,Gd,PConc,Gd,TA,No,1566,Ex,Y,1600,Gd,7,Typ,Gd,Attchd,3,Y,0,56,0,0,None,0,Normal,2,2,2,0,Summer,0,0,0,0,0,0,0,0,12.454103912352162
27,RL,60.0,7200,Pave,Reg,Lvl,Corner,Gtl,NAmes,1Fam,1Story,5,Wd Sdng,TA,CBlock,TA,TA,Mn,900,TA,Y,900,Gd,5,Typ,None,Detchd,2,Y,222,32,0,0,None,0,Normal,59,10,1,1,Spring,0,0,0,0,0,0,0,0,11.811547477460344
28,RL,98.0,11478,Pave,Reg,Lvl,Inside,Gtl,NridgHt,1Fam,1Story,8,VinylSd,Gd,PConc,Ex,TA,No,1704,Ex,Y,1704,Gd,7,Typ,Gd,Attchd,3,Y,0,50,0,0,None,0,Normal,3,2,3,0,Spring,0,0,0,0,0,0,0,0,12.631340380934517
29,RL,47.0,16321,Pave,IR1,Lvl,CulDSac,Gtl,NAmes,1Fam,1Story,5,MetalSd,TA,CBlock,TA,TA,Gd,1484,TA,Y,1600,TA,6,Typ,Gd,Attchd,1,Y,288,258,0,0,None,0,Normal,49,9,2,0,Winter,0,0,0,0,0,0,0,0,12.24288661865289
30,RM,60.0,6324,Pave,IR1,Lvl,Inside,Gtl,BrkSide,1Fam,1Story,4,MetalSd,TA,BrkTil,TA,TA,No,520,Fa,N,520,Fa,4,Typ,None,Detchd,1,Y,49,0,0,0,None,0,Normal,81,58,1,0,Spring,0,1,0,0,0,0,0,1,11.134589024250317
31,C (all),50.0,8500,Pave,Reg,Lvl,Inside,Gtl,IDOTRR,1Fam,2Story,4,BrkFace,TA,BrkTil,TA,TA,No,649,TA,N,1317,TA,6,Typ,None,Detchd,1,N,0,54,0,0,MnPrv,0,Normal,88,58,1,0,Summer,0,1,0,0,0,0,0,0,10.596634733096073
32,RL,8873.0,8544,Pave,IR1,Lvl,CulDSac,Gtl,Sawyer,1Fam,1Story,5,HdBoard,TA,CBlock,TA,TA,No,1228,Gd,Y,1228,Gd,6,Typ,None,Attchd,1,Y,0,65,0,0,MnPrv,0,Normal,42,2,1,1,Summer,0,0,0,0,0,0,0,0,11.914047823644255
33,RL,85.0,11049,Pave,Reg,Lvl,Corner,Gtl,CollgCr,1Fam,1Story,8,VinylSd,Gd,PConc,Ex,TA,Av,1234,Ex,Y,1234,Gd,7,Typ,None,Attchd,2,Y,0,30,0,0,None,0,Normal,1,1,2,0,Winter,0,0,0,0,0,0,0,0,12.100156419938624
34,RL,70.0,10552,Pave,IR1,Lvl,Inside,Gtl,NAmes,1Fam,1Story,5,BrkFace,TA,CBlock,TA,TA,No,1398,Gd,Y,1700,Gd,6,Typ,Gd,Attchd,2,Y,0,38,0,0,None,0,Normal,51,51,1,2,Spring,0,0,0,0,0,0,0,0,12.016726473799254
35,RL,60.0,7313,Pave,Reg,Lvl,Inside,Gtl,NridgHt,TwnhsE,1Story,9,MetalSd,Ex,PConc,Ex,TA,No,1561,Ex,Y,1561,Ex,6,Typ,Gd,Attchd,2,Y,203,47,0,0,None,0,Normal,2,2,3,0,Summer,0,0,0,0,0,0,0,0,12.533576212168626
36,RL,108.0,13418,Pave,Reg,Lvl,Inside,Gtl,NridgHt,1Fam,2Story,8,VinylSd,Gd,PConc,Ex,TA,Av,1117,Ex,Y,2452,Gd,9,Typ,Gd,BuiltIn,3,Y,113,32,0,0,None,0,Normal,2,1,3,1,Fall,0,0,0,0,0,0,0,0,12.641096555879882
37,RL,112.0,10859,Pave,Reg,Lvl,Corner,Gtl,CollgCr,1Fam,1Story,5,VinylSd,TA,PConc,Gd,TA,No,1097,Ex,Y,1097,TA,6,Typ,None,Attchd,2,Y,392,64,0,0,None,0,Normal,15,14,1,1,Summer,0,0,0,0,0,0,0,0,11.884489021402711
38,RL,74.0,8532,Pave,Reg,Lvl,Inside,Gtl,NAmes,1Fam,1Story,5,Wd Sdng,TA,CBlock,TA,TA,No,1297,Gd,Y,1297,TA,5,Typ,TA,Attchd,2,Y,0,0,0,0,None,0,Normal,55,19,1,1,Fall,0,0,0,0,0,0,0,0,11.938193200374572
39,RL,68.0,7922,Pave,Reg,Lvl,Inside,Gtl,NAmes,1Fam,1Story,5,VinylSd,TA,CBlock,TA,TA,No,1057,TA,Y,1057,Gd,5,Typ,None,Detchd,1,Y,0,52,0,0,None,0,Abnorml,57,3,2,0,Winter,0,0,0,0,0,0,0,0,11.59910316121128
40,RL,65.0,6040,Pave,Reg,Lvl,Inside,Gtl,Edwards,Duplex,1Story,4,AsbShng,TA,PConc,None,None,None,0,TA,N,1152,Fa,6,Typ,None,None,0,N,0,0,0,0,None,0,AdjLand,53,53,2,0,Summer,0,0,0,0,0,0,0,0,11.314474526246391
41,RL,84.0,8658,Pave,Reg,Lvl,Inside,Gtl,NAmes,1Fam,1Story,6,Wd Sdng,TA,CBlock,TA,TA,No,1088,Ex,Y,1324,TA,6,Typ,TA,Attchd,2,Y,0,138,0,0,GdWo,0,Abnorml,41,41,2,0,Winter,0,0,0,0,0,0,0,0,11.982929094215963
42,RL,115.0,16905,Pave,Reg,Lvl,Inside,Gtl,Timber,1Fam,1Story,5,VinylSd,TA,CBlock,TA,TA,Gd,1350,Gd,Y,1328,TA,5,Typ,Gd,Attchd,1,N,0,104,0,0,None,0,Normal,48,48,1,2,Summer,0,0,0,0,0,0,0,0,12.043553716032399
43,RL,9304.0,9180,Pave,IR1,Lvl,CulDSac,Gtl,SawyerW,1Fam,SFoyer,5,HdBoard,TA,CBlock,Gd,TA,Av,840,Gd,Y,884,Gd,5,Typ,None,Attchd,2,Y,240,0,0,0,MnPrv,0,Normal,24,24,2,0,Winter,0,0,0,0,0,0,0,0,11.877568578558138
44,RL,9359.5,9200,Pave,IR1,Lvl,CulDSac,Gtl,CollgCr,1Fam,1Story,5,VinylSd,TA,CBlock,Gd,TA,Av,938,TA,Y,938,TA,5,Typ,None,Detchd,1,Y,145,0,0,0,MnPrv,0,Normal,33,28,2,0,Summer,0,0,0,0,0,0,0,0,11.777210959615614
45,RL,70.0,7945,Pave,Reg,Lvl,Inside,Gtl,NAmes,1Fam,1Story,5,BrkFace,TA,CBlock,TA,TA,No,1150,Ex,Y,1150,TA,6,Typ,None,Attchd,1,Y,0,0,0,0,None,0,Normal,47,47,2,0,Spring,0,0,0,0,0,0,0,0,11.856515169360305
46,RL,61.0,7658,Pave,Reg,Lvl,Inside,Gtl,NridgHt,TwnhsE,1Story,9,MetalSd,Ex,PConc,Ex,TA,No,1752,Ex,Y,1752,Ex,6,Typ,Gd,Attchd,2,Y,196,82,0,0,None,0,Normal,5,5,3,0,Winter,0,0,0,0,0,0,0,0,12.675763725937609
47,RL,48.0,12822,Pave,IR1,Lvl,CulDSac,Gtl,Mitchel,1Fam,1.5Fin,7,VinylSd,Gd,PConc,Ex,TA,No,1434,Ex,Y,2149,Gd,6,Typ,Ex,Attchd,2,Y,168,43,198,0,None,0,Abnorml,6,6,2,1,Summer,0,0,0,0,0,0,0,0,12.387085012375499
48,FV,84.0,11096,Pave,Reg,Lvl,Inside,Gtl,Somerst,1Fam,1Story,8,VinylSd,Gd,PConc,Gd,TA,Av,1656,Ex,Y,1656,Gd,7,Typ,None,Attchd,3,Y,0,146,0,0,None,0,Normal,1,1,2,0,Summer,0,0,0,0,0,0,0,0,12.428015476267865
49,RM,33.0,4456,Pave,Reg,Lvl,Inside,Gtl,OldTown,2fmCon,2Story,4,MetalSd,TA,BrkTil,TA,TA,No,736,Gd,Y,1452,TA,8,Typ,None,None,0,N,0,0,0,0,None,0,Partial,89,1,2,0,Summer,0,0,0,0,0,0,0,0,11.635143097694478
50,RL,66.0,7742,Pave,Reg,Lvl,Inside,Gtl,Sawyer,1Fam,1Story,5,HdBoard,TA,CBlock,TA,TA,No,955,Ex,Y,955,TA,6,Typ,None,Attchd,1,Y,0,0,0,0,MnPrv,0,Normal,41,41,2,0,Winter,0,0,0,0,0,0,0,0,11.751942365440728
51,RL,10237.0,13869,Pave,IR2,Lvl,Corner,Gtl,Gilbert,1Fam,2Story,6,VinylSd,TA,PConc,Gd,TA,Av,794,Gd,Y,1470,TA,6,Typ,None,Attchd,2,Y,0,75,0,0,None,0,Normal,10,10,2,1,Summer,0,0,0,0,0,0,0,0,12.083905011555967
52,RM,52.0,6240,Pave,Reg,Lvl,Inside,Gtl,BrkSide,1Fam,1.5Fin,6,Wd Sdng,TA,PConc,TA,TA,No,816,TA,Y,1176,TA,6,Typ,Gd,Detchd,2,Y,112,0,0,0,MnPrv,400,Normal,72,56,1,0,Fall,0,0,0,0,0,0,0,0,11.648330101976432
53,RM,110.0,8472,Grvl,IR2,Bnk,Corner,Mod,IDOTRR,Duplex,1Story,5,Wd Sdng,Fa,CBlock,Gd,TA,Gd,816,TA,N,816,TA,5,Typ,None,CarPort,2,Y,106,0,0,0,None,0,Normal,47,47,2,0,Spring,0,0,0,0,0,0,0,1,11.608235644774552
54,RL,68.0,50271,Pave,IR1,Low,Inside,Gtl,Veenker,1Fam,1Story,9,WdShing,Gd,CBlock,Ex,TA,Gd,1842,Gd,Y,1842,Gd,5,Typ,Gd,Attchd,3,Y,857,72,0,0,None,0,Normal,25,19,2,1,Fall,0,0,0,0,0,0,0,0,12.86099861326992
55,RL,60.0,7134,Pave,Reg,Bnk,Inside,Mod,NAmes,1Fam,SLvl,5,MetalSd,TA,CBlock,TA,TA,No,384,TA,Y,1360,TA,6,NonTyp,TA,Detchd,2,Y,0,50,0,0,MnPrv,0,Normal,52,52,1,0,Winter,0,0,0,0,0,0,0,0,11.77528972943772
56,RL,100.0,10175,Pave,IR1,Lvl,Inside,Gtl,NAmes,1Fam,1Story,6,HdBoard,TA,CBlock,TA,TA,No,1425,Gd,Y,1425,TA,7,Typ,Gd,Attchd,2,Y,0,0,0,0,None,0,Normal,44,44,2,0,Summer,0,0,0,0,0,0,0,0,12.103486056755072
57,FV,24.0,2645,Pave,Reg,Lvl,Inside,Gtl,Somerst,Twnhs,2Story,8,MetalSd,Gd,PConc,Gd,TA,No,970,Ex,Y,1739,Gd,7,Typ,None,Attchd,2,Y,115,0,0,0,None,0,Abnorml,10,9,3,1,Summer,0,0,0,0,0,0,0,0,12.058152515453552
58,RL,89.0,11645,Pave,IR1,Lvl,Corner,Gtl,CollgCr,1Fam,2Story,7,VinylSd,Gd,PConc,Gd,TA,No,860,Ex,Y,1720,Gd,7,Typ,None,Attchd,2,Y,0,70,0,0,None,0,Normal,2,2,2,1,Summer,0,0,0,0,0,0,0,0,12.188417710291453
59,RL,66.0,13682,Pave,IR2,HLS,CulDSac,Gtl,StoneBr,1Fam,2Story,10,VinylSd,Ex,PConc,Ex,TA,Gd,1410,Ex,Y,2945,Gd,10,Typ,Gd,BuiltIn,3,Y,192,0,0,0,None,0,Partial,0,0,3,1,Fall,0,0,0,0,0,0,0,0,12.991753427493052
60,RL,60.0,7200,Pave,Reg,Bnk,Inside,Gtl,CollgCr,1Fam,1Story,5,HdBoard,TA,CBlock,TA,TA,Av,780,Ex,Y,780,TA,4,Typ,None,Detchd,1,Y,196,0,0,0,MnPrv,0,Normal,36,36,1,0,Winter,0,0,0,0,0,0,0,0,11.73526869611367
61,RL,63.0,13072,Pave,Reg,Lvl,Inside,Gtl,SawyerW,1Fam,1Story,6,VinylSd,TA,PConc,Gd,TA,No,1158,Ex,Y,1158,Gd,5,Typ,None,Detchd,2,Y,0,50,0,0,None,0,Partial,2,2,2,1,Spring,0,0,0,0,1,0,0,0,11.970350312009105
62,RM,60.0,7200,Pave,Reg,Lvl,Inside,Gtl,IDOTRR,1Fam,2.5Unf,5,MetalSd,TA,BrkTil,TA,Fa,No,530,TA,N,1111,Fa,6,Typ,None,Detchd,1,N,0,0,0,0,None,0,Normal,87,11,1,0,Spring,0,0,0,0,0,0,0,0,11.522875795823397
63,RL,44.0,6442,Pave,IR1,Lvl,Inside,Gtl,NridgHt,TwnhsE,1Story,8,VinylSd,Gd,PConc,Gd,Gd,Mn,1370,Ex,Y,1370,Gd,6,Typ,Gd,Attchd,2,Y,120,49,0,0,None,0,Normal,1,1,2,0,Fall,0,0,0,0,0,0,0,0,12.218495165528731
64,RM,50.0,10300,Pave,IR1,Bnk,Inside,Gtl,OldTown,1Fam,2Story,7,Stucco,TA,BrkTil,TA,TA,No,576,Gd,Y,1710,TA,9,Typ,None,Detchd,2,Y,12,11,0,0,GdPrv,0,Normal,89,60,2,0,Spring,0,1,0,0,0,1,0,0,11.84939770159144
65,RL,9359.5,9375,Pave,Reg,Lvl,Inside,Gtl,CollgCr,1Fam,2Story,7,VinylSd,TA,PConc,Gd,TA,No,1057,Ex,Y,2034,Gd,8,Typ,None,Attchd,2,Y,576,36,0,0,GdPrv,0,Normal,12,11,3,1,Winter,0,0,0,0,0,0,0,0,12.299107511497363
66,RL,76.0,9591,Pave,Reg,Lvl,Inside,Gtl,NridgHt,1Fam,2Story,8,VinylSd,Gd,PConc,Ex,TA,Av,1143,Ex,Y,2473,Gd,9,Typ,Gd,BuiltIn,3,Y,192,151,0,0,None,0,Normal,3,2,2,1,Fall,0,0,0,0,0,0,0,0,12.666657052859417
67,RL,129.35312951876458,19900,Pave,Reg,Lvl,Inside,Gtl,NAmes,1Fam,1Story,7,Plywood,TA,CBlock,Gd,TA,Gd,1947,TA,Y,2207,TA,7,NonTyp,Gd,Attchd,2,Y,301,0,0,0,None,0,Normal,40,21,3,0,Summer,0,0,1,0,0,0,0,0,12.100712129872347
68,RL,72.0,10665,Pave,IR1,Lvl,Inside,Gtl,CollgCr,1Fam,1Story,7,VinylSd,Gd,PConc,Gd,TA,Av,1453,Ex,Y,1479,Gd,7,Typ,None,Attchd,2,Y,144,29,0,0,None,0,Normal,4,4,3,0,Summer,0,0,0,0,0,0,0,0,12.328290278254423
69,RM,47.0,4608,Pave,Reg,Lvl,Corner,Gtl,OldTown,1Fam,1Story,4,MetalSd,TA,CBlock,TA,TA,No,747,TA,Y,747,TA,4,Typ,None,Attchd,1,Y,0,0,0,0,None,0,Normal,65,60,1,0,Summer,1,0,0,0,0,0,0,0,11.289781913656018
70,RL,81.0,15593,Pave,Reg,Lvl,Corner,Gtl,ClearCr,1Fam,1.5Fin,7,BrkFace,Gd,CBlock,TA,TA,No,1304,TA,Y,2287,TA,7,Typ,TA,Attchd,2,Y,0,21,0,0,None,0,Normal,53,53,2,0,Summer,0,0,0,0,0,0,0,0,12.323855681186558
71,RL,95.0,13651,Pave,IR1,Lvl,Inside,Gtl,NAmes,1Fam,1Story,7,Plywood,TA,CBlock,Gd,TA,Gd,2223,Ex,Y,2223,TA,8,Typ,Gd,Attchd,2,Y,300,0,0,0,None,0,Normal,34,34,3,0,Winter,0,0,0,0,0,0,0,0,12.404923504275338
72,RL,69.0,7599,Pave,Reg,Lvl,Corner,Gtl,Mitchel,1Fam,1Story,4,HdBoard,TA,CBlock,TA,TA,No,845,TA,Y,845,TA,4,Typ,None,Detchd,2,Y,0,0,0,0,None,0,Normal,25,1,2,0,Summer,0,0,0,0,0,0,0,0,11.771436160121729
73,RL,74.0,10141,Pave,IR1,Lvl,Corner,Gtl,Gilbert,1Fam,2Story,7,VinylSd,TA,PConc,Gd,TA,No,832,Gd,Y,1718,TA,7,Typ,TA,Attchd,2,Y,0,94,291,0,None,0,Normal,11,11,2,1,Winter,0,0,0,0,0,0,0,0,12.128111104060462
74,RL,85.0,10200,Pave,Reg,Lvl,Inside,Gtl,NAmes,1Fam,1Story,5,Wd Sdng,TA,CBlock,TA,TA,No,1086,Gd,Y,1086,TA,6,Typ,None,Attchd,2,Y,0,0,0,0,GdWo,0,Normal,56,7,2,0,Spring,0,0,0,0,0,0,0,0,11.883799128308773
75,RM,60.0,5790,Pave,Reg,Lvl,Corner,Gtl,OldTown,1Fam,2Story,3,VinylSd,Gd,CBlock,Fa,TA,No,840,Gd,N,1605,TA,8,Typ,None,Detchd,1,Y,0,0,0,0,None,0,Normal,95,60,2,0,Spring,0,0,0,0,0,0,0,0,11.584315461056901
76,RM,21.0,1596,Pave,Reg,Lvl,Inside,Gtl,MeadowV,Twnhs,SLvl,4,CemntBd,TA,CBlock,Gd,TA,Gd,462,TA,Y,988,TA,5,Typ,None,BuiltIn,1,Y,120,101,0,0,GdWo,0,Normal,36,36,2,0,Fall,0,0,0,0,0,0,0,0,11.418614785498987
77,RL,69.16862888591824,8475,Pave,IR1,Lvl,Inside,Gtl,NAmes,1Fam,1Story,4,VinylSd,TA,CBlock,TA,TA,No,952,Ex,Y,952,TA,4,Typ,None,Detchd,1,Y,0,0,0,0,None,0,Normal,52,52,1,0,Spring,0,0,0,0,0,0,0,0,11.818570237796182
78,RM,50.0,8635,Pave,Reg,Lvl,Inside,Gtl,BrkSide,1Fam,1.5Fin,5,Wd Sdng,TA,CBlock,TA,TA,No,672,TA,Y,1285,TA,6,NonTyp,None,Detchd,1,Y,0,0,0,0,MnPrv,0,Normal,60,7,2,0,Winter,0,0,0,0,0,0,0,0,11.751942365440728
79,RL,72.0,10778,Pave,Reg,Lvl,Inside,Gtl,Sawyer,Duplex,1Story,4,HdBoard,TA,CBlock,TA,TA,No,1768,TA,N,1768,TA,8,Typ,None,None,0,Y,0,0,0,0,None,0,Normal,42,42,2,0,Spring,0,0,0,0,0,0,0,0,11.824079893607152
80,RM,60.0,10440,Pave,Reg,Lvl,Corner,Gtl,OldTown,1Fam,2Story,5,Wd Sdng,TA,PConc,TA,TA,No,440,Gd,Y,1230,TA,5,Typ,None,Detchd,2,Y,74,0,0,0,MnPrv,0,Normal,99,28,1,1,Spring,0,0,0,0,0,0,0,0,11.608235644774552
81,RL,100.0,13000,Pave,Reg,Lvl,Corner,Gtl,NAmes,1Fam,2Story,6,VinylSd,TA,CBlock,Gd,TA,No,896,TA,Y,2142,Gd,8,Typ,Gd,Attchd,1,Y,0,72,252,0,None,0,Normal,41,41,2,1,Summer,0,0,0,0,0,0,0,0,12.173032791451973
82,RM,32.0,4500,Pave,Reg,Lvl,FR2,Gtl,Mitchel,TwnhsE,1Story,6,VinylSd,TA,PConc,Ex,Gd,No,1237,Ex,Y,1337,TA,5,Typ,None,Attchd,2,Y,0,199,0,0,None,0,Normal,8,8,3,0,Spring,0,0,0,0,0,0,0,0,11.941455846009388
